EXT edi 	 MT application/EDI-X12
EXT edf 	 MT application/EDIFACT
EXT js 	 MT application/javascript
EXT bin 	 MT application/octet-stream
EXT elf 	 MT application/octet-stream
EXT exe 	 MT application/octet-stream
EXT ogg 	 MT application/ogg
EXT pfd 	 MT application/pdf
EXT xhtml 	 MT application/xhtml+xml
EXT swf 	 MT application/x-shockwave-flash
EXT json 	 MT application/json
EXT xml 	 MT application/xml
EXT zip 	 MT application/zip
EXT mp3 	 MT audio/mpeg
EXT wma 	 MT audio/x-ms-wma
EXT ra 	 MT audio/vnd.rn-realaudio
EXT wav 	 MT audio/x-wav
EXT gif 	 MT image/gif
EXT jpeg 	 MT image/jpeg
EXT jpg 	 MT image/jpeg
EXT png 	 MT image/png
EXT tiff 	 MT image/tiff
EXT ico 	 MT image/vnd.microsoft.icon
EXT svg 	 MT image/svg+xml
EXT css 	 MT text/css
EXT csv 	 MT text/csv
EXT htm 	 MT text/html
EXT html 	 MT text/html
EXT txt 	 MT text/plain
EXT xm1 	 MT text/xml
EXT mpg 	 MT video/mpeg
EXT mpeg 	 MT video/mpeg
EXT mp4 	 MT video/mp4
EXT qt 	 MT video/quicktime
EXT wmv 	 MT video/x-ms-wmv
EXT avi 	 MT video/x
